id,direct_pass,direct_output,cot_pass,cot_output
2727,False,"        return sum(int(d[-2:]) > 60 for d in details)


# You are given a 0-indexed array of strings words and a 2D array of integers queries.
# Each queries[i] = [li, ri] denotes that you should perform the following operation on the string words[j] from the index li to the index ri (both inclusive) until j reaches ri + 1:
# Replace each vowel in the substring words[j] up to and including the index ri with a period '.'.
# Return an array answer of the same length as queries where answer[i] is t",False,"        return sum(int(d[-2:]) > 60 for d in details)


# 2022-09-01
# 1. Two Sum
# Given an array of integers nums and an integer target, return indices of the two numbers such that they add up to target.
# You may assume that each input would have exactly one solution, and you may not use the same element twice.
# You can return the answer in any order.
# Example 1:
# Input: nums = [2,7,11,15], target = 9
# Output: [0,1]
# Explanation: Because nums[0] + nums[1] == 9, we return [0, 1].
# Exampl"
2728,False,"        # 1. sort each row
        # 2. find the max in each row
        # 3. add the max to the answer
        # 4. repeat until the matrix is empty
        # 5. return the answer
        # 1. sort each row
        for row in nums:
            row.sort()
        # 2. find the max in each row
        max_in_each_row = []
        for row in nums:
            max_in_each_row.append(row[-1])
        # 3. add the max to the answer
        answer = 0
        for row in max_in_each_row:
            an",False,"        # 1. sort each row
        # 2. find the max in each row
        # 3. add the max to the answer
        # 4. repeat until the matrix is empty
        # 5. return the answer
        # 1. sort each row
        for row in nums:
            row.sort()
        # 2. find the max in each row
        max_in_each_row = []
        for row in nums:
            max_in_each_row.append(row[-1])
        # 3. add the max to the answer
        answer = 0
        for row in max_in_each_row:
            an"
2730,False,"        # 1. 暴力解法
        # 2. 动态规划
        # 3. 位运算
        # 4. 位运算优化
        # 5. 位运算优化2
        # 6. 位运算优化3
        # 7. 位运算优化4
        # 8. 位运算优化5
        # 9. 位运算优化6
        # 10. 位运算优化7
        # 11. 位运算优化8
        # 12. 位运算优化9
        # 13. 位运算优化10
        # 14. 位运算优化11
        # 15. 位运算优化12
        # 16. 位运算优化13
        # 17. 位运算优化14
        # 18. 位运算优化15
        # 19. 位运算优化16
        # 20. 位运算优化17
        # 21. 位运算优化18
        # 22. 位运算优化19
        # 23. 位运算优化20
        # 24. 位运算优化21
 ",False,"        # 1. 2^k <= max(nums) <= 2^31 - 1
        # 2. 2^k <= len(nums) <= 10^5
        # 3. 2^k <= k <= 15
        # 4. 2^k <= len(nums) <= 10^5
        # 5. 2^k <= k <= 15
        # 6. 2^k <= len(nums) <= 10^5
        # 7. 2^k <= k <= 15
        # 8. 2^k <= len(nums) <= 10^5
        # 9. 2^k <= k <= 15
        # 10. 2^k <= len(nums) <= 10^5
        # 11. 2^k <= k <= 15
        # 12. 2^k <= len(nums) <= 10^5
        # 13. 2^k <= k <= 15
        # 14. 2^k <= len(nums) <= 10^5
        # 15. 2^k <"
2754,False,"        # 1. 计算最大乘积
        # 2. 计算最小乘积
        # 3. 计算最大乘积 - 最小乘积
        # 4. 计算最大乘积 - 最小乘积
        # 5. 计算最大乘积 - 最小乘积
        # 6. 计算最大乘积 - 最小乘积
        # 7. 计算最大乘积 - 最小乘积
        # 8. 计算最大乘积 - 最小乘积
        # 9. 计算最大乘积 - 最小乘积
        # 10. 计算最大乘积 - 最小乘积
        # 11. 计算最大乘积 - 最小乘积
        # 12. 计算最大乘积 - 最小乘积
        # 13. 计算最大乘积 - 最小乘积
        # 14. 计算最大乘积 - 最小乘积
        # 15. 计算最大乘积 - 最小乘积
        # 16. 计算最大乘积 - 最小乘积
        # 17. 计算最大乘积 - 最小乘积
        # 18. 计算最大乘积 - 最小乘积
        # 19. 计算最大乘",False,        # 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1
2755,False,"        # dp[i] = min(dp[j] + 1) for all j in dictionary
        # dp[i] = min(dp[j] + 1) for all j in dictionary and s[j:i] is a substring of s
        # dp[i] = min(dp[j] + 1) for all j in dictionary and s[j:i] is a substring of s and s[j:i] is not in dictionary
        # dp[i] = min(dp[j] + 1) for all j in dictionary and s[j:i] is a substring of s and s[j:i] is not in dictionary and s[j:i] is not a substring of dictionary
        # dp[i] = min(dp[j] + 1) for all j in dictionary and s[j:i] is ",False,"        # 1. 
        # 2. 
        # 3. 
        # 4. 
        # 5. 
        # 6. 
        # 7. 
        # 8. 
        # 9. 
        # 10. 
        # 11. 
        # 12. 
        # 13. 
        # 14. 
        # 15. 
        # 16. 
        # 17. 
        # 18. 
        # 19. 
        # 20. 
        # 21. 
        # 22. 
        # 23. 
        # 24. 
        # 25. 
        # 26. 
        # 27. 
        # 28. 
        # 29. 
        # 30. 
        # 31. 
        # 32. 
        # 33. 
        # 34. "
2756,False,"        prices.sort()
        if prices[0] + prices[1] <= money:
            return money - (prices[0] + prices[1])
        else:
            return money


# You are given an integer array nums. You are initially positioned at the array's first index, and each element in the array represents your maximum jump length at that position.
# Return true if you can reach the last index, or false otherwise.
# Example 1:
# Input: nums = [2,3,1,1,4]
# Output: true
# Explanation: Jump 1 step from index 0 ",True,"        prices.sort()
        if prices[0] + prices[1] <= money:
            return money - (prices[0] + prices[1])
        else:
            return money

# 2022-09-20
# 2022-09-20
# 2022-09-20
# 2022-09-20
# 2022-09-20
# 2022-09-20
# 2022-09-20
# 2022-09-20
# 2022-09-20
# 2022-09-20
# 2022-09-20
# 2022-09-20
# 2022-09-20
# 2022-09-20
# 2022-09-20
# 2022-09-20
# 2022-09-20
# 2022-09-20
# 2022-09-20
# 2022-09-20
# 2022-09-20
# 2022-09-20
# 2022-09-20
# 2022-09-20
# 2022-09-20
# 2022-09-20
# 2022"
2757,False,"        def digit_sum(x: int) -> int:
            return sum(map(int, str(x)))

        def dfs(num1: str, num2: str, min_sum: int, max_sum: int, cur: int, seen: Set[int]) -> int:
            if cur > max_sum:
                return 0
            if cur < min_sum:
                return 0
            if cur in seen:
                return 0
            seen.add(cur)
            return 1 + dfs(num1, num2, min_sum, max_sum, cur * 10 + int(num1), seen) + dfs(num1, num2, min_sum, max_sum, cur * 10 +",False,"        # 1. 1 <= num1 <= num2 <= 10^22
        # 2. 1 <= min_sum <= max_sum <= 400
        # 3. num1 <= x <= num2
        # 4. min_sum <= digit_sum(x) <= max_sum
        # 5. digit_sum(x) = sum(digits(x))
        # 6. 1 <= digit <= 9
        # 7. 1 <= num1.length, num2.length <= 10^2
        # 8. 1 <= min_sum, max_sum <= 400
        # 9. 1 <= num1.length, num2.length <= 10^2
        # 10. 1 <= min_sum, max_sum <= 400
        # 11. 1 <= num1.length, num2.length <= 10^2
        # 12. 1 <= min_sum"
2777,False,"        # 1. 计算前缀和
        # 2. 计算后缀集合
        # 3. 计算前缀集合
        # 4. 计算后缀集合
        # 5. 计算差集
        # 6. 返回结果
        # 1. 计算前缀和
        prefix_sum = [0] * (len(nums) + 1)
        for i in range(len(nums)):
            prefix_sum[i + 1] = prefix_sum[i] + nums[i]
        # 2. 计算后缀集合
        suffix_set = set()
        for i in range(len(nums) - 1, -1, -1):
            suffix_set.add(nums[i])
        # 3. 计算前缀集合
        prefix_set = set()
        for i in range(len(nums)):
            prefix_s",False,"        # 1. 计算前缀和
        # 2. 计算后缀的元素个数
        # 3. 计算前缀和 - 后缀的元素个数
        # 4. 返回结果
        # 1. 计算前缀和
        prefix_sum = [0] * (len(nums) + 1)
        for i in range(len(nums)):
            prefix_sum[i + 1] = prefix_sum[i] + nums[i]
        # 2. 计算后缀的元素个数
        suffix_set = set()
        for i in range(len(nums) - 1, -1, -1):
            suffix_set.add(nums[i])
        # 3. 计算前缀和 - 后缀的元素个数
        res = [0] * len(nums)
        for i in range(len(nums)):
            res[i] = prefix_sum"
2779,False,"        ans = [0] * len(queries)
        nums = [0] * n
        for i, (idx, color) in enumerate(queries):
            if nums[idx] != 0:
                ans[i] = nums[idx] == nums[idx - 1]
                if idx > 0:
                    ans[i] += nums[idx - 1] == nums[idx - 2]
                if idx < n - 1:
                    ans[i] += nums[idx + 1] == nums[idx]
            nums[idx] = color
        return ans


# There is a 0-indexed array nums of length n. Initially, all elements are uncolo",False,"        # 1. 2D array
        # 2. 1D array
        # 3. 1D array
        # 4. 1D array
        # 5. 1D array
        # 6. 1D array
        # 7. 1D array
        # 8. 1D array
        # 9. 1D array
        # 10. 1D array
        # 11. 1D array
        # 12. 1D array
        # 13. 1D array
        # 14. 1D array
        # 15. 1D array
        # 16. 1D array
        # 17. 1D array
        # 18. 1D array
        # 19. 1D array
        # 20. 1D array
        # 21. 1D array
        # 22. 1D array
   "
2784,False,"        nums.sort()
        ans = 0
        for i in range(len(nums)):
            ans += nums[i] * nums[i] * (i + 1)
            ans %= 1000000007
            ans -= nums[i] * nums[i] * (len(nums) - i - 1)
            ans %= 1000000007
        return ans


# 2022.08.20
# 1. 2022.08.20
# 2. 2022.08.20
# 3. 2022.08.20
# 4. 2022.08.20
# 5. 2022.08.20
# 6. 2022.08.20
# 7. 2022.08.20
# 8. 2022.08.20
# 9. 2022.08.20
# 10. 2022.08.20
# 11. 2022.08.20
# 12. 2022.08.20
# 13. 2022.08.20
# 14. 2022.08.20
",False,"        nums.sort()
        ans = 0
        for i in range(len(nums)):
            ans += nums[i] * nums[i] * (i + 1)
            ans %= 1000000007
            ans -= nums[i] * (i + 1)
            ans %= 1000000007
        return ans

# 2022-09-20 17:00:00
# 2022-09-20 17:00:00
# 2022-09-20 17:00:00
# 2022-09-20 17:00:00
# 2022-09-20 17:00:00
# 2022-09-20 17:00:00
# 2022-09-20 17:00:00
# 2022-09-20 17:00:00
# 2022-09-20 17:00:00
# 2022-09-20 17:00:00
# 2022-09-20 17:00:00
# 2022-09-20 17:00:00
#"
