id,direct_pass,direct_output,direct_n_tokens,direct_truncated,cot_pass,cot_output,cot_n_tokens,cot_truncated
HumanEval/0,True,"from typing import List

def has_close_elements(numbers: List[float], threshold: float) -> bool:
    """""" Check if in given list of numbers, are any two numbers closer to each other than
    given threshold.
    >>> has_close_elements([1.0, 2.0, 3.0], 0.5)
    False
    >>> has_close_elements([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3)
    True
    """"""
    for i in range(len(numbers)):
        for j in range(i + 1, len(numbers)):
            if abs(numbers[i] - numbers[j]) < threshold:
                return True
    return False

# Test cases
print(has_close_elements([1.0, 2.0, 3.0], 0.5))  # False
print(has_close_elements([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3))  # True
",273,False,True,"from typing import List

def has_close_elements(numbers: List[float], threshold: float) -> bool:
    """""" Check if in given list of numbers, are any two numbers closer to each other than
    given threshold.
    >>> has_close_elements([1.0, 2.0, 3.0], 0.5)
    False
    >>> has_close_elements([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3)
    True
    """"""
    for i in range(len(numbers)):
        for j in range(i + 1, len(numbers)):
            if abs(numbers[i] - numbers[j]) < threshold:
                return True
    return False

# Test cases
print(has_close_elements([1.0, 2.0, 3.0], 0.5))  # False
print(has_close_elements([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3))  # True
",273,False
HumanEval/1,True,"Here is a Python function that solves the problem:

```python
from typing import List

def separate_paren_groups(paren_string: str) -> List[str]:
    paren_string = paren_string.replace("" "", """")
    groups = []
    start = 0
    count = 0

    for i in range(len(paren_string)):
        if paren_string[i] == '(':
            count += 1
        elif paren_string[i] == ')':
            count -= 1
            if count == 0:
                groups.append(paren_string[start:i+1])
                start = i+1

    return groups
```",168,False,True,"Here is a Python function that solves the problem:

```python
from typing import List

def separate_paren_groups(paren_string: str) -> List[str]:
    paren_string = paren_string.replace("" "", """")
    groups = []
    start = 0
    count = 0

    for i, char in enumerate(paren_string):
        if char == '(':
            count += 1
        elif char == ')':
            count -= 1
            if count == 0:
                groups.append(paren_string[start:i+1])
                start = i+1

    return groups
```",156,False
HumanEval/2,True,"def truncate_number(number: float) -> float:
    return number - int(number)

# Test cases
print(truncate_number(3.5))  # Output: 0.5
print(truncate_number(2.8))  # Output: 0.2
print(truncate_number(1.2345))  # Output: 0.2345
print(truncate_number(0.5))  # Output: 0.5
print(truncate_number(0.0))  # Output: 0.0
",141,False,True,"def truncate_number(number: float) -> float:
    return number - int(number)

# Test cases
print(truncate_number(3.5))  # Output: 0.5
print(truncate_number(2.8))  # Output: 0.2
print(truncate_number(0.5))  # Output: 0.0
print(truncate_number(1))    # Output: 1.0
print(truncate_number(0))    # Output: 0.0
",131,False
HumanEval/3,True,"Here is the Python function that solves the problem:

```python
from typing import List

def below_zero(operations: List[int]) -> bool:
    balance = 0
    for op in operations:
        balance += op
        if balance < 0:
            return True
    return False
```",72,False,True,"Here is the Python function that solves the problem:

```python
from typing import List

def below_zero(operations: List[int]) -> bool:
    balance = 0
    for op in operations:
        balance += op
        if balance < 0:
            return True
    return False
```",72,False
HumanEval/4,True,"from typing import List

def mean_absolute_deviation(numbers: List[float]) -> float:
    mean = sum(numbers) / len(numbers)
    return sum(abs(x - mean) for x in numbers) / len(numbers)

# Test cases
print(mean_absolute_deviation([1.0, 2.0, 3.0, 4.0]))  # Output: 1.0
print(mean_absolute_deviation([-1.0, 2.0, -3.0, 4.0]))  # Output: 2.5
print(mean_absolute_deviation([5.0, 5.0, 5.0, 5.0]))  # Output: 0.0
",185,False,True,"from typing import List

def mean_absolute_deviation(numbers: List[float]) -> float:
    mean = sum(numbers) / len(numbers)
    differences = [abs(num - mean) for num in numbers]
    mad = sum(differences) / len(numbers)
    return mad

# Test cases
print(mean_absolute_deviation([1.0, 2.0, 3.0, 4.0]))  # Output: 1.0
print(mean_absolute_deviation([-1.0, 2.0, -3.0, 4.0]))  # Output: 3.0
print(mean_absolute_deviation([1.0, 1.0, 1.0, 1.0]))  # Output: 0.0
",198,False
HumanEval/5,True,"from typing import List

def intersperse(numbers: List[int], delimeter: int) -> List[int]:
    if not numbers:
        return []
    
    result = [numbers[0]]
    
    for num in numbers[1:]:
        result.extend([delimeter, num])
    
    return result

print(intersperse([], 4))
print(intersperse([1, 2, 3], 4))
",115,False,True,"from typing import List

def intersperse(numbers: List[int], delimeter: int) -> List[int]:
    if not numbers:
        return []
    
    result = [numbers[0]]
    
    for num in numbers[1:]:
        result.extend([delimeter, num])
    
    return result

print(intersperse([], 4))
print(intersperse([1, 2, 3], 4))
",115,False
HumanEval/6,False,"Here is a Python solution for the problem. The function `parse_nested_parens` uses a stack to keep track of the nesting level. It iterates over each character in the input string. If the character is an open parenthesis, it increments the nesting level. If it's a close parenthesis, it decrements the nesting level. The maximum nesting level is kept track of in a variable `max_level`.

```python
from typing import List

def parse_nested_parens(paren_string: str) -> List[int]:
    max_level = 0
    current_level = 0
    result = []
    for char in paren_string:
        if char == '(':
            current_level += 1
            max_level = max(max_level, current_level)
        elif char == ')':
            current_level -= 1
        result.append(max_level)
    return result
```",220,False,True,"Here is a Python function that solves the problem:

```python
from typing import List

def parse_nested_parens(paren_string: str) -> List[int]:
    result = []
    for group in paren_string.split():
        count = 0
        max_count = 0
        for char in group:
            if char == '(':
                count += 1
                if count > max_count:
                    max_count = count
            elif char == ')':
                count -= 1
        result.append(max_count)
    return result
```",139,False
HumanEval/7,True,"Here is the Python function that filters an input list of strings only for ones that contain the given substring:

```python
from typing import List

def filter_by_substring(strings: List[str], substring: str) -> List[str]:
    return [s for s in strings if substring in s]
```",75,False,True,"Here is the Python function that filters an input list of strings only for ones that contain the given substring:

```python
from typing import List

def filter_by_substring(strings: List[str], substring: str) -> List[str]:
    return [s for s in strings if substring in s]
```",75,False
HumanEval/8,True,"Here is the Python function that solves the problem:

```python
from typing import List, Tuple

def sum_product(numbers: List[int]) -> Tuple[int, int]:
    sum_numbers = sum(numbers)
    product_numbers = 1
    for num in numbers:
        product_numbers *= num
    return (sum_numbers, product_numbers)
```",98,False,True,"Here is the Python function that solves the problem:

```python
from typing import List, Tuple

def sum_product(numbers: List[int]) -> Tuple[int, int]:
    sum_numbers = sum(numbers)
    product_numbers = 1
    for num in numbers:
        product_numbers *= num
    return (sum_numbers, product_numbers)
```",98,False
HumanEval/9,False,"Here is the Python function that solves the problem:

```python
from typing import List, Tuple

def rolling_max(numbers: List[int]) -> List[int]:
    max_list = []
    max_val = numbers[0]
    max_list.append(max_val)
    for num in numbers[1:]:
        if num > max_val:
            max_val = num
        max_list.append(max_val)
    return max_list
```",118,False,False,"Here is the Python function that solves the problem:

```python
from typing import List, Tuple

def rolling_max(numbers: List[int]) -> List[int]:
    max_values = []
    max_value = numbers[0]
    max_values.append(max_value)

    for num in numbers[1:]:
        if num > max_value:
            max_value = num
        max_values.append(max_value)

    return max_values
```",120,False
