id,direct_score,direct_pass,cot_score,cot_pass,plan_score,plan_pass,decompose_score,decompose_pass,expert_score,expert_pass,reviewer_score,reviewer_pass,simple_score,simple_pass,careful_score,careful_pass,efficient_score,efficient_pass,tdd_score,tdd_pass,defensive_score,defensive_pass,typed_score,typed_pass,probe_selected_style,probe_selected_pass,random_selected_pass,oracle_pass
HumanEval/82,-1.2097097635269165,False,-0.5496391654014587,False,-0.5699251890182495,False,-0.4813573956489563,False,-0.6349838972091675,False,-0.5359938144683838,False,-0.49398577213287354,False,-0.47812503576278687,False,-0.4530269503593445,False,-0.5122549533843994,False,-0.4390226900577545,False,-0.3689275085926056,False,typed,False,False,False
HumanEval/83,-3.2868149280548096,False,-2.3444247245788574,False,-2.407102584838867,False,-2.156981945037842,False,-2.299206495285034,False,-2.1673741340637207,False,-2.1955409049987793,False,-2.208289623260498,False,-2.2096495628356934,False,-2.055915117263794,False,-2.1058266162872314,False,-2.0716910362243652,False,tdd,False,False,False
HumanEval/84,-1.730409860610962,False,-0.8685774207115173,True,-0.9483454823493958,False,-0.8506500720977783,False,-0.9122296571731567,True,-0.8566055297851562,True,-0.8552751541137695,True,-0.8722795248031616,False,-0.8357745409011841,True,-0.8135261535644531,True,-0.7237741947174072,True,-0.676017165184021,True,typed,True,False,True
HumanEval/85,-2.834242820739746,False,-2.0952415466308594,False,-2.138319253921509,False,-2.0296778678894043,False,-2.157562494277954,False,-2.0754904747009277,False,-2.0925631523132324,False,-2.0866310596466064,True,-2.0289976596832275,False,-2.0302178859710693,False,-1.9941705465316772,False,-1.9839797019958496,False,typed,False,False,True
HumanEval/86,-1.9764478206634521,False,-1.1714158058166504,False,-1.2359912395477295,False,-1.0164225101470947,False,-1.1407263278961182,False,-1.0938175916671753,False,-1.002174735069275,False,-1.001172423362732,False,-1.0191320180892944,False,-1.0475623607635498,False,-0.9121420979499817,False,-0.8499698638916016,False,typed,False,False,False
HumanEval/87,-2.3242218494415283,False,-1.456505298614502,False,-1.4785118103027344,False,-1.3189752101898193,False,-1.393231749534607,False,-1.3726073503494263,False,-1.3501555919647217,False,-1.3716628551483154,False,-1.3187196254730225,False,-1.2746695280075073,False,-1.2977808713912964,False,-1.2187089920043945,False,typed,False,False,False
HumanEval/88,-1.9010978937149048,False,-1.1077537536621094,False,-1.1418147087097168,False,-0.968146800994873,False,-1.0266940593719482,False,-0.9823510646820068,False,-0.945183277130127,True,-0.9420520067214966,False,-0.9527382850646973,False,-0.8711361289024353,False,-0.9154502153396606,False,-0.7734942436218262,False,typed,False,False,True
HumanEval/89,-1.4311960935592651,False,-0.9161959290504456,True,-0.9523934721946716,False,-0.8158583641052246,True,-0.9625712633132935,False,-0.8515117168426514,False,-0.8251681923866272,True,-0.7786844968795776,False,-0.7866636514663696,False,-0.8007283806800842,True,-0.7488272786140442,False,-0.6672345995903015,False,typed,False,False,True
HumanEval/90,-1.97187340259552,False,-1.192728042602539,False,-1.1897892951965332,False,-1.0090545415878296,False,-1.123130440711975,False,-1.0645151138305664,False,-1.0622198581695557,False,-1.023777723312378,False,-1.0193358659744263,False,-1.0206407308578491,False,-0.9540170431137085,False,-0.90779048204422,False,typed,False,False,False
HumanEval/91,-2.346029281616211,False,-1.2571624517440796,False,-1.3509349822998047,False,-1.1718347072601318,False,-1.305934190750122,False,-1.2443649768829346,False,-1.1960339546203613,False,-1.1750496625900269,False,-1.1535344123840332,False,-1.1371638774871826,False,-1.1398303508758545,False,-1.0328298807144165,False,typed,False,False,False
HumanEval/92,-0.7312976121902466,False,0.1032334566116333,True,0.013560950756072998,False,0.24196654558181763,False,0.05396980047225952,True,0.14523625373840332,True,0.14526045322418213,False,0.1424986720085144,False,0.18126878142356873,True,0.20618963241577148,True,0.2732781171798706,True,0.3756600618362427,False,typed,False,False,True
HumanEval/93,-1.6783404350280762,False,-0.8305969834327698,False,-0.9013867378234863,False,-0.7928882837295532,False,-0.8494710922241211,False,-0.7928290367126465,False,-0.7655771970748901,False,-0.7738384008407593,False,-0.7476986646652222,False,-0.7114940285682678,False,-0.6834416389465332,False,-0.6270809173583984,False,typed,False,False,False
