id,direct_pass,direct_output,cot_pass,cot_output
2727,True,       return sum(int(d[11:13]) > 60 for d in details),False,"       count = 0
        for detail in details:
            age = int(detail[11:13])
            if age > 60:
                count += 1
        return count"
2728,False,"       for row in nums:
            row.sort(reverse=True)
        return sum(max(row) for row in zip(*nums))",False,"       for row in nums:
            row.sort(reverse=True)
        return sum(max(row) for row in zip(*nums))"
2730,False,"       n = len(nums)
        prefix = [0] * (n + 1)
        suffix = [0] * (n + 1)
        for i in range(n):
            prefix[i + 1] = prefix[i] | nums[i]
            suffix[n - i - 1] = suffix[n - i] | nums[n - i - 1]
        ans = 0
        for i in range(n):
            ans = max(ans, prefix[i] | nums[i] << k | suffix[i + 1])
        return ans",False,"       n = len(nums)
        prefix = [0] * (n + 1)
        suffix = [0] * (n + 1)
        for i in range(n):
            prefix[i + 1] = prefix[i] | nums[i]
            suffix[n - i - 1] = suffix[n - i] | nums[n - i - 1]
        ans = 0
        for i in range(n):
            ans = max(ans, prefix[i] | nums[i] << k | suffix[i + 1])
        return ans"
2754,False,"       if len(nums) == 1:
            return nums[0]
        if len(nums) == 2:
            return nums[0] * nums[1]
        if len(nums) == 3:
            return max(nums[0] * nums[1] * nums[2], nums[0] * nums[1], nums[0] * nums[2], nums[1] * nums[2])
        if len(nums) == 4:
            return max(nums[0] * nums[1] * nums[2] * nums[3], nums[0] * nums[1] * nums[2], nums[0] * nums[1] * nums[3], nums[0] * nums[1] * nums[4], nums[0] * nums[1], nums[0] * nums[2] * nums[3], nums[0] * nums[2] * num",False,"       # 1. If there is only one number, return it
        if len(nums) == 1:
            return nums[0]
        # 2. If there are no numbers, return 0
        if len(nums) == 0:
            return 0
        # 3. If there is only one negative number, return it
        if len([num for num in nums if num < 0]) == 1:
            return nums[0]
        # 4. If there are no negative numbers, return the product of all numbers
        if len([num for num in nums if num < 0]) == 0:
            return in"
2755,False,"       n = len(s)
        dp = [0] * (n + 1)
        for i in range(n - 1, -1, -1):
            dp[i] = dp[i + 1] + 1
            for word in dictionary:
                if s[i:i + len(word)] == word:
                    dp[i] = min(dp[i], dp[i + len(word)])
        return dp[0]",True,"       # dp[i] is the minimum number of extra characters left over if we break up s[0:i] optimally
        dp = [0] * (len(s) + 1)
        for i in range(1, len(s) + 1):
            dp[i] = dp[i - 1] + 1
            for word in dictionary:
                if s[i - len(word):i] == word:
                    dp[i] = min(dp[i], dp[i - len(word)])
        return dp[-1]"
2756,False,"       prices.sort()
        if prices[0] + prices[1] <= money:
            return money - (prices[0] + prices[1])
        return money",False,"       prices.sort()
        if prices[0] + prices[1] <= money:
            return money - (prices[0] + prices[1])
        else:
            return money"
2757,False,"       def dfs(i: int, s: int, is_limit: bool, is_num: bool) -> int:
            if i == len(num):
                return int(is_num)
            if is_num and not is_limit and dp[i][s][is_num] != -1:
                return dp[i][s][is_num]
            res = 0
            if not is_num:
                res = dfs(i + 1, s, False, False)
            low = 0 if is_num else 1
            high = int(num[i]) if is_limit else 9
            for d in range(low, high + 1):
                if s + d <= max_",False,"       # 1. convert num1 and num2 to list of digits
        # 2. iterate over num2 and calculate the sum of digits
        # 3. if the sum is between min_sum and max_sum, increment the count
        # 4. return the count
        # 5. if the sum is greater than max_sum, break the loop
        # 6. if the sum is less than min_sum, continue the loop
        # 7. if the sum is equal to min_sum, increment the count
        # 8. if the sum is equal to max_sum, break the loop
        # 9. if the sum is"
2777,False,"       prefix = set()
        suffix = set(nums)
        res = []
        for i in range(len(nums)):
            prefix.add(nums[i])
            suffix.discard(nums[i])
            res.append(len(prefix) - len(suffix))
        return res",False,"       prefix = set()
        suffix = set(nums)
        res = []
        for i in range(len(nums)):
            prefix.add(nums[i])
            suffix.discard(nums[i])
            res.append(len(prefix) - len(suffix))
        return res"
2779,False,"       ans = [0] * len(queries)
        color = [0] * n
        count = 0
        for i, (index, color_i) in enumerate(queries):
            if color[index] == color_i:
                ans[i] = count
                continue
            if color[index] != 0:
                if color[index] == color[index - 1]:
                    count -= 1
                if color[index] == color[index + 1]:
                    count -= 1
            color[index] = color_i
            if index > 0 and color[ind",False,"       ans = [0] * len(queries)
        color = [0] * n
        count = 0
        for i, (index, color_i) in enumerate(queries):
            if color[index] != 0:
                if color[index] == color[index - 1]:
                    count -= 1
                if color[index] == color[index + 1]:
                    count -= 1
            color[index] = color_i
            if index > 0 and color[index] == color[index - 1]:
                count += 1
            if index < n - 1 and color[index"
2784,False,"       nums.sort()
        ans = 0
        mod = 10**9 + 7
        prefix = 0
        for i, num in enumerate(nums):
            ans += (num**2) * (prefix + num)
            prefix += num
            ans %= mod
        return ans",False,"       nums.sort()
        ans = 0
        mod = 10**9 + 7
        prefix = 0
        for i, num in enumerate(nums):
            ans += (prefix + num) * num * num
            prefix = (prefix + num) * 2
        return ans % mod"
