id,direct_pass,cot_pass
0,True,True
1,False,False
2,True,True
3,True,True
4,False,False
5,True,False
6,False,False
7,True,True
8,False,False
9,False,False
10,False,False
11,True,True
12,True,False
13,True,True
14,False,False
15,True,True
16,True,False
17,False,False
18,True,False
19,False,False
20,False,False
21,True,False
22,True,True
23,True,True
24,False,False
25,True,True
26,False,False
27,True,True
28,True,True
29,True,True
30,True,True
31,True,True
32,False,False
33,False,False
34,True,True
35,True,True
36,False,False
37,False,False
38,False,False
39,False,False
40,True,False
41,False,False
42,True,True
43,True,False
44,True,True
45,True,True
46,False,False
47,True,True
48,True,True
49,True,True
50,False,False
51,False,True
52,False,False
53,True,True
54,False,False
55,True,True
56,True,False
57,True,False
58,True,True
59,False,False
60,True,True
61,True,False
62,False,False
63,True,True
64,False,False
65,False,False
66,True,True
67,False,False
68,False,False
69,False,False
70,False,False
71,False,False
72,True,False
73,False,False
74,False,False
75,False,False
76,False,False
77,False,False
78,False,False
79,True,True
80,False,False
81,False,False
82,False,False
83,False,False
84,False,False
85,False,False
86,False,False
87,False,False
88,False,False
89,True,True
90,False,False
91,False,False
92,False,False
93,False,False
94,True,False
95,False,False
96,False,False
97,True,True
98,True,False
99,False,False
100,False,False
101,False,False
102,False,False
103,False,True
104,False,False
105,False,False
106,False,False
107,False,False
108,False,False
109,False,False
110,False,False
111,False,False
112,False,False
113,False,False
114,False,True
115,False,False
116,True,True
117,False,False
118,False,False
119,False,False
120,False,False
121,True,True
122,False,False
123,False,False
124,False,False
125,False,False
126,False,False
127,False,False
128,False,True
129,False,False
130,False,False
131,False,False
132,False,False
133,False,False
134,False,False
135,False,False
136,True,False
137,False,False
138,False,False
139,False,False
140,False,False
141,False,False
142,True,False
143,False,False
144,False,False
145,False,False
146,False,False
147,False,False
148,False,False
149,False,False
150,False,False
151,True,True
152,True,True
153,False,False
154,False,False
155,False,False
156,False,False
157,False,False
158,False,False
159,False,False
160,False,False
161,False,False
162,False,False
163,False,False
