id,direct_pass,direct_output,direct_n_tokens,direct_truncated,cot_pass,cot_output,cot_n_tokens,cot_truncated
HumanEval/0,True,"   for i in range(len(numbers)):
        for j in range(i + 1, len(numbers)):
            if abs(numbers[i] - numbers[j]) < threshold:
                return True
    return False


if __name__ == ""__main__"":
    import doctest
    doctest.testmod()",84,False,False,"   for i in range(len(numbers)):
        for j in range(i + 1, len(numbers)):
            if abs(numbers[i] - numbers[j]) < threshold:
                return True
    return False


if __name__ == ""__main__"":
    import doctest
    doctest.testmod()

#01_python/02_functions/02_functions_02.py
# Let's think step by step
from typing import List


def has_close_elements(numbers: List[float], threshold: float) -> bool:
    """""" Check if in given list of numbers, are any two numbers closer to each other than
    given threshold.
    >>> has_close_elements([1.0, 2.0, 3.0], 0.5)
    False
    >>> has_close_elements([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3)
    True
    """"""
    for i in range(len(numbers)):
        for j in range(i + 1, len(numbers)):
            if abs(numbers[i] - numbers[j]) < threshold:
                return True
    return False


def has_close_elements_v2(numbers: List[float], threshold: float) -> bool:
    """""" Check if in given list of numbers, are any two numbers closer to each other than
    given threshold.
    >>> has_close_elements_v2([1.0, 2.0, 3.0], 0.5)
    False
    >>> has_close_elements_v2([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3)
    True
    """"""
    for i in range(len(numbers)):
        for j in range(i + 1, len(numbers)):
            if abs(numbers[i] - numbers[j]) < threshold:
                return True
    return False


if __name__ == ""__main__",512,True
HumanEval/1,False,"   paren_list = []
    paren_string = paren_string.replace(' ', '')
    paren_string = paren_string.replace('(', '( ')
    paren_string = paren_string.replace(')', ' )')
    paren_string = paren_string.split(' ')
    for i in paren_string:
        if i == '':
            paren_list.append('')
        else:
            paren_list.append(i)
    return paren_list


if __name__ == '__main__':
    import doctest
    doctest.testmod()",157,False,False,"   # TODO: Implement this function
    pass


if __name__ == '__main__':
    import doctest
    doctest.testmod()

#tests/test_separate_paren_groups.py
from separate_paren_groups import separate_paren_groups


def test_separate_paren_groups():
    assert separate_paren_groups('( ) (( )) (( )( ))') == ['()', '(())', '(()())']",118,False
HumanEval/2,False,"   return number - int(number)


def get_number_of_digits(number: float) -> int:
    """""" Given a positive floating point number, it can be decomposed into
    and integer part (largest integer smaller than given number) and decimals
    (leftover part always smaller than 1).

    Return the number of digits in the decimal part of the number.
    >>> get_number_of_digits(3.5)
    1
    """"""
    return len(str(truncate_number(number)))


def get_number_of_digits_in_number(number: int) -> int:
    """""" Given a positive integer, it can be decomposed into
    and integer part (largest integer smaller than given number) and decimals
    (leftover part always smaller than 1).

    Return the number of digits in the decimal part of the number.
    >>> get_number_of_digits_in_number(3)
    1
    """"""
    return len(str(number))


def get_number_of_digits_in_number_with_decimals(number: float) -> int:
    """""" Given a positive floating point number, it can be decomposed into
    and integer part (largest integer smaller than given number) and decimals
    (leftover part always smaller than 1).

    Return the number of digits in the decimal part of the number.
    >>> get_number_of_digits_in_number_with_decimals(3.5)
    2
    """"""
    return len(str(truncate_number(number)))


def get_number_of_digits_in_number_with_decimals_with_sign(number: float) -> int:
    """""" Given a positive floating point number, it can be decomposed into
    and integer part (largest integer smaller than given number) and decimals
    (leftover part always smaller than 1).

    Return the number of digits in the decimal part of the number.
    >>> get_number_of_digits_in_number_with_decimals",512,True,False,"   return number - int(number)


def truncate_number_2(number: float) -> float:
    """""" Given a positive floating point number, it can be decomposed into
    and integer part (largest integer smaller than given number) and decimals
    (leftover part always smaller than 1).

    Return the decimal part of the number.
    >>> truncate_number_2(3.5)
    0.5
    """"""
    return number - int(number)


def truncate_number_3(number: float) -> float:
    """""" Given a positive floating point number, it can be decomposed into
    and integer part (largest integer smaller than given number) and decimals
    (leftover part always smaller than 1).

    Return the decimal part of the number.
    >>> truncate_number_3(3.5)
    0.5
    """"""
    return number - int(number)


def truncate_number_4(number: float) -> float:
    """""" Given a positive floating point number, it can be decomposed into
    and integer part (largest integer smaller than given number) and decimals
    (leftover part always smaller than 1).

    Return the decimal part of the number.
    >>> truncate_number_4(3.5)
    0.5
    """"""
    return number - int(number)


def truncate_number_5(number: float) -> float:
    """""" Given a positive floating point number, it can be decomposed into
    and integer part (largest integer smaller than given number) and decimals
    (leftover part always smaller than 1).

    Return the decimal part of the number.
    >>> truncate_number_5(3.5)
    0.5
    """"""
    return number - int(number)


def truncate_number_6(number: float) -> float:
    """""" Given a positive floating point number, it can be decomposed into
    and integer part (largest integer smaller than given number) and decimals
    (leftover part always smaller than 1).

    Return the decimal",512,True
HumanEval/3,True,"   balance = 0
    for operation in operations:
        balance += operation
        if balance < 0:
            return True
    return False


if __name__ == ""__main__"":
    import doctest
    doctest.testmod()",60,False,False,"   balance = 0
    for operation in operations:
        balance += operation
        if balance < 0:
            return True
    return False


if __name__ == ""__main__"":
    import doctest
    doctest.testmod()

#tests/test_02_01.py
from typing import List


def find_max_sum(numbers: List[int]) -> int:
    """"""
    You're given a list of integers. Your task is to find the maximum sum of a contiguous sublist.
    >>> find_max_sum([1, 2, 3, 4, 5])
    15
    >>> find_max_sum([1, 2, 3, 4, 5, -10])
    15
    >>> find_max_sum([1, 2, 3, 4, 5, -10, 10])
    25
    >>> find_max_sum([1, 2, 3, 4, 5, -10, 10, 10])
    35
    >>> find_max_sum([1, 2, 3, 4, 5, -10, 10, 10, 10])
    45
    >>> find_max_sum([1, 2, 3, 4, 5, -10, 10, 10, 10, 10])
    55
    >>> find_max_sum([1, 2, 3, 4, 5, -10, 10, 10, 10, 10, 10])
    65
    >>> find_max_sum([1, 2, 3, 4, 5, -10, 10, 10, 10, 10, 10, 10])
    75
    >>> find_max_sum([1, 2, 3, 4, 5, -10, 10, 10, 10, 10, 10, 10, 10,",512,True
HumanEval/4,False,"   mean = sum(numbers) / len(numbers)
    return sum(abs(x - mean) for x in numbers) / len(numbers)


def mean_absolute_deviation_of_list(numbers: List[float]) -> float:
    """""" For a given list of input numbers, calculate Mean Absolute Deviation
    around the mean of this dataset.
    Mean Absolute Deviation is the average absolute difference between each
    element and a centerpoint (mean in this case):
    MAD = average | x - x_mean |
    >>> mean_absolute_deviation_of_list([1.0, 2.0, 3.0, 4.0])
    1.0
    """"""
    mean = sum(numbers) / len(numbers)
    return sum(abs(x - mean) for x in numbers) / len(numbers)


def mean_absolute_deviation_of_list_of_lists(numbers: List[List[float]]) -> float:
    """""" For a given list of input numbers, calculate Mean Absolute Deviation
    around the mean of this dataset.
    Mean Absolute Deviation is the average absolute difference between each
    element and a centerpoint (mean in this case):
    MAD = average | x - x_mean |
    >>> mean_absolute_deviation_of_list_of_lists([[1.0, 2.0, 3.0, 4.0], [5.0, 6.0, 7.0, 8.0]])
    1.0
    """"""
    mean = sum(numbers) / len(numbers)
    return sum(abs(x - mean) for x in numbers) / len(numbers)


def mean_absolute_deviation_of_list_of_lists_of_lists(numbers: List[List[List[float]]]) -> float:
    """""" For a given list of input numbers, calculate Mean Absolute Deviation
    around the mean of this dataset.
    Mean Absolute Deviation is the average absolute difference between each
    element and a centerpoint (mean in this case):",512,True,False,"   # TODO: Implement this function
    pass


if __name__ == ""__main__"":
    import doctest
    doctest.testmod()

#src/statistics/__init__.py
from .mean_absolute_deviation import mean_absolute_deviation

__all__ = [""mean_absolute_deviation""]",86,False
HumanEval/5,False,"   return [numbers[0]] + [delimeter] + [numbers[i] for i in range(1, len(numbers))] + [delimeter] + [numbers[-1]]


def intersperse_2(numbers: List[int], delimeter: int) -> List[int]:
    """""" Insert a number 'delimeter' between every two consecutive elements of input list `numbers'
    >>> intersperse_2([], 4)
    []
    >>> intersperse_2([1, 2, 3], 4)
    [1, 4, 2, 4, 3]
    """"""
    return [numbers[0]] + [delimeter] + [numbers[i] for i in range(1, len(numbers) - 1)] + [delimeter] + [numbers[-1]]


def intersperse_3(numbers: List[int], delimeter: int) -> List[int]:
    """""" Insert a number 'delimeter' between every two consecutive elements of input list `numbers'
    >>> intersperse_3([], 4)
    []
    >>> intersperse_3([1, 2, 3], 4)
    [1, 4, 2, 4, 3]
    """"""
    return [numbers[0]] + [delimeter] + [numbers[i] for i in range(1, len(numbers) - 1)] + [delimeter] + [numbers[-1]]


def intersperse_4(numbers: List[int], delimeter: int) -> List[int]:
    """""" Insert a number 'delimeter' between every two consecutive elements of input list `numbers'
    >>> intersperse_4([], 4)
    []
    >>> intersperse_4([1, 2, 3], 4)
    [1, 4, 2, 4, 3]
    """"""
    return [numbers[0]] + [delimeter] + [numbers[i] for i in range(1, len(numbers) - 1)] + [",512,True,False,"   result = []
    for i in range(len(numbers)):
        if i % 2 == 0:
            result.append(numbers[i])
        result.append(delimeter)
        result.append(numbers[i])
    return result


def intersperse_2(numbers: List[int], delimeter: int) -> List[int]:
    """""" Insert a number 'delimeter' between every two consecutive elements of input list `numbers'
    >>> intersperse_2([], 4)
    []
    >>> intersperse_2([1, 2, 3], 4)
    [1, 4, 2, 4, 3]
    """"""
    result = []
    for i in range(len(numbers)):
        if i % 2 == 0:
            result.append(numbers[i])
        result.append(delimeter)
        result.append(numbers[i])
    return result


def intersperse_3(numbers: List[int], delimeter: int) -> List[int]:
    """""" Insert a number 'delimeter' between every two consecutive elements of input list `numbers'
    >>> intersperse_3([], 4)
    []
    >>> intersperse_3([1, 2, 3], 4)
    [1, 4, 2, 4, 3]
    """"""
    result = []
    for i in range(len(numbers)):
        if i % 2 == 0:
            result.append(numbers[i])
        result.append(delimeter)
        result.append(numbers[i])
    return result


def intersperse_4(numbers: List[int], delimeter: int) -> List[int]:
    """""" Insert a number 'delimeter' between every two consecutive elements of input list `numbers'
    >>> intersperse_4([], 4)
    []
    >>> intersperse_4([1, 2, 3], 4)
    [1, 4, 2, 4,",512,True
HumanEval/6,False,"   # TODO: Implement this function
    pass


if __name__ == '__main__':
    import doctest
    doctest.testmod()",40,False,True,"   # TODO: Implement this function
    pass


if __name__ == '__main__':
    import doctest
    doctest.testmod()

    # Run the tests
    import unittest
    unittest.main()

#tests/test_parse_nested_parens.py
from parse_nested_parens import parse_nested_parens


class TestParseNestedParens(unittest.TestCase):
    def test_parse_nested_parens(self):
        self.assertEqual(parse_nested_parens('(()()) ((())) () ((())()())'), [2, 3, 1, 3])


if __name__ == '__main__':
    unittest.main()",184,False
HumanEval/7,True,"   return [string for string in strings if substring in string]


if __name__ == '__main__':
    import doctest
    doctest.testmod()",43,False,False,"   return [string for string in strings if substring in string]


def filter_by_length(strings: List[str], length: int) -> List[str]:
    """""" Filter an input list of strings only for ones that contain given substring
    >>> filter_by_length([], 1)
    []
    >>> filter_by_length(['abc', 'bacd', 'cde', 'array'], 2)
    ['abc', 'bacd']
    """"""
    return [string for string in strings if len(string) == length]


def filter_by_length_and_substring(strings: List[str], length: int, substring: str) -> List[str]:
    """""" Filter an input list of strings only for ones that contain given substring
    >>> filter_by_length_and_substring([], 1, 'a')
    []
    >>> filter_by_length_and_substring(['abc', 'bacd', 'cde', 'array'], 2, 'a')
    ['abc', 'bacd']
    """"""
    return [string for string in strings if len(string) == length and substring in string]


def filter_by_length_and_substring_and_case(strings: List[str], length: int, substring: str, case: bool) -> List[str]:
    """""" Filter an input list of strings only for ones that contain given substring
    >>> filter_by_length_and_substring_and_case([], 1, 'a', True)
    []
    >>> filter_by_length_and_substring_and_case(['abc', 'bacd', 'cde', 'array'], 2, 'a', True)
    ['abc', 'bacd']
    >>> filter_by_length_and_substring_and_case(['abc', 'bacd', 'cde', 'array'], 2, 'a', False)
    ['bacd']
    """"""
    return [string for string in strings if len(string) == length and substring in string.lower() if case]


def filter_by_length_and_substring_and_case_",512,True
HumanEval/8,True,"   sum_of_numbers = 0
    product_of_numbers = 1
    for number in numbers:
        sum_of_numbers += number
        product_of_numbers *= number
    return sum_of_numbers, product_of_numbers


if __name__ == ""__main__"":
    import doctest
    doctest.testmod()",92,False,False,"   sum_of_numbers = 0
    product_of_numbers = 1
    for number in numbers:
        sum_of_numbers += number
        product_of_numbers *= number
    return sum_of_numbers, product_of_numbers


if __name__ == ""__main__"":
    import doctest
    doctest.testmod()

#tests/test_sum_product.py
from sum_product import sum_product


def test_sum_product_empty_list():
    assert sum_product([]) == (0, 1)


def test_sum_product_list_of_integers():
    assert sum_product([1, 2, 3, 4]) == (10, 24)",187,False
HumanEval/9,False,"   max_so_far = numbers[0]
    rolling_max = [max_so_far]
    for i in range(1, len(numbers)):
        max_so_far = max(max_so_far, numbers[i])
        rolling_max.append(max_so_far)
    return rolling_max


def rolling_min(numbers: List[int]) -> List[int]:
    """""" From a given list of integers, generate a list of rolling minimum element found until given moment
    in the sequence.
    >>> rolling_min([1, 2, 3, 2, 3, 4, 2])
    [1, 1, 2, 2, 2, 3, 2]
    """"""
    min_so_far = numbers[0]
    rolling_min = [min_so_far]
    for i in range(1, len(numbers)):
        min_so_far = min(min_so_far, numbers[i])
        rolling_min.append(min_so_far)
    return rolling_min


def rolling_sum(numbers: List[int]) -> List[int]:
    """""" From a given list of integers, generate a list of rolling sum found until given moment
    in the sequence.
    >>> rolling_sum([1, 2, 3, 2, 3, 4, 2])
    [1, 3, 6, 5, 8, 11, 9]
    """"""
    rolling_sum = [numbers[0]]
    for i in range(1, len(numbers)):
        rolling_sum.append(rolling_sum[i - 1] + numbers[i])
    return rolling_sum


def rolling_product(numbers: List[int]) -> List[int]:
    """""" From a given list of integers, generate a list of rolling product found until given moment
    in the sequence.
    >>> rolling_product([1, 2, 3, 2, 3, 4, 2])
    [1, 2, 6, 12, 20, 36",512,True,False,"   max_so_far = numbers[0]
    rolling_max = [max_so_far]
    for i in range(1, len(numbers)):
        max_so_far = max(max_so_far, numbers[i])
        rolling_max.append(max_so_far)
    return rolling_max


def rolling_min(numbers: List[int]) -> List[int]:
    """""" From a given list of integers, generate a list of rolling minimum element found until given moment
    in the sequence.
    >>> rolling_min([1, 2, 3, 2, 3, 4, 2])
    [1, 1, 2, 2, 2, 3, 2]
    """"""
    min_so_far = numbers[0]
    rolling_min = [min_so_far]
    for i in range(1, len(numbers)):
        min_so_far = min(min_so_far, numbers[i])
        rolling_min.append(min_so_far)
    return rolling_min


def rolling_sum(numbers: List[int]) -> List[int]:
    """""" From a given list of integers, generate a list of rolling sum found until given moment
    in the sequence.
    >>> rolling_sum([1, 2, 3, 2, 3, 4, 2])
    [1, 3, 6, 5, 8, 11, 9]
    """"""
    rolling_sum = [numbers[0]]
    for i in range(1, len(numbers)):
        rolling_sum.append(rolling_sum[i - 1] + numbers[i])
    return rolling_sum


def rolling_product(numbers: List[int]) -> List[int]:
    """""" From a given list of integers, generate a list of rolling product found until given moment
    in the sequence.
    >>> rolling_product([1, 2, 3, 2, 3, 4, 2])
    [1, 2, 6, 12, 20, 36",512,True
