id,direct_pass,cot_pass,plan_pass,decompose_pass,expert_pass,reviewer_pass,simple_pass,careful_pass,efficient_pass,tdd_pass,defensive_pass,typed_pass,direct_score,cot_score,plan_score,decompose_score,expert_score,reviewer_score,simple_score,careful_score,efficient_score,tdd_score,defensive_score,typed_score,probe_selected_style,probe_selected_pass,random_selected_pass,oracle_pass
HumanEval/82,False,False,False,False,False,False,False,False,False,False,False,False,-9.689994812011719,-8.35991096496582,-5.125258445739746,-7.747856616973877,-3.7827975749969482,-9.60535717010498,-8.643396377563477,-7.834867000579834,-8.033929824829102,-9.537078857421875,-8.141311645507812,-6.447212219238281,expert,False,False,False
HumanEval/83,False,False,False,False,False,False,False,False,False,False,False,False,-15.61054801940918,-6.301764965057373,-5.487100124359131,-6.061492919921875,-15.743033409118652,-14.394923210144043,-17.878957748413086,-14.273974418640137,-22.33672523498535,-17.181882858276367,-15.66085147857666,-7.987006664276123,plan,False,False,False
HumanEval/84,False,False,False,False,False,False,False,False,False,False,False,False,-9.356626510620117,-8.137120246887207,-0.9041442275047302,-6.554289817810059,-10.939708709716797,-7.590917587280273,-11.586060523986816,-11.568144798278809,-13.016254425048828,-12.274832725524902,-8.226595878601074,-7.332475185394287,plan,False,False,False
HumanEval/85,False,False,False,False,False,False,False,False,False,False,False,False,-3.5409412384033203,-3.475107192993164,-1.0035207271575928,-1.5858532190322876,-5.774155139923096,-3.720029592514038,-4.881625652313232,-5.61053466796875,-5.267088413238525,-4.229333877563477,-4.636993885040283,-1.2427316904067993,plan,False,False,False
HumanEval/86,False,False,False,False,False,False,False,False,False,False,False,False,-8.478333473205566,-5.811535358428955,-4.220126628875732,-7.75065803527832,-9.875828742980957,-8.918869972229004,-11.845977783203125,-12.282628059387207,-9.243477821350098,-11.347407341003418,-9.854354858398438,-6.860849380493164,plan,False,False,False
HumanEval/87,False,False,False,False,False,False,False,False,False,False,False,False,-9.81938362121582,-5.980271816253662,-4.197635173797607,-8.230123519897461,-9.281530380249023,-8.628276824951172,-10.982162475585938,-9.745287895202637,-8.36236572265625,-10.038262367248535,-9.554509162902832,-5.492859363555908,plan,False,False,False
HumanEval/88,False,False,False,False,False,False,False,False,False,False,False,False,-8.894308090209961,-7.840916156768799,-5.199962139129639,-10.279943466186523,-9.02643871307373,-9.959053993225098,-9.873779296875,-10.422595024108887,-7.316200256347656,-10.779294967651367,-9.0219087600708,-6.962802886962891,plan,False,False,False
HumanEval/89,False,False,False,False,False,False,False,False,False,False,False,False,-4.864840030670166,-4.695135116577148,-4.637610912322998,-6.22180700302124,-9.682764053344727,-6.39885139465332,-10.64019775390625,-8.052167892456055,-7.540086269378662,-7.608527660369873,-10.285969734191895,-2.6982860565185547,typed,False,False,False
HumanEval/90,False,False,False,False,False,False,False,False,False,False,False,False,-6.308654308319092,-10.619961738586426,-7.704650402069092,-8.385758399963379,-3.9117419719696045,-8.634661674499512,-5.99165153503418,-5.802753448486328,-5.034234523773193,-7.070322036743164,-5.727876663208008,-3.6706666946411133,typed,False,False,False
HumanEval/91,False,False,False,False,False,False,False,False,False,False,False,False,-3.753779888153076,-3.3226585388183594,-6.525099277496338,-7.614370822906494,-4.345761775970459,-6.367127418518066,-6.166264533996582,-4.797993183135986,-4.70017671585083,-4.379244327545166,-5.969060897827148,-5.747883319854736,cot,False,False,False
HumanEval/92,False,False,False,False,False,False,False,False,False,False,False,False,-12.709775924682617,-5.3412346839904785,-8.285091400146484,-4.975891590118408,-7.972177982330322,-10.244587898254395,-9.444007873535156,-10.163179397583008,-9.59411907196045,-10.716919898986816,-8.32264518737793,-12.04319953918457,decompose,False,False,False
HumanEval/93,False,False,False,False,False,False,False,False,False,False,False,False,-5.0879292488098145,-3.4844470024108887,-2.5979576110839844,-6.372688293457031,-5.539986610412598,-5.793496131896973,-7.904101371765137,-8.337179183959961,-6.259016513824463,-6.41174840927124,-7.433555603027344,-6.867115020751953,plan,False,False,False
HumanEval/94,False,False,False,False,False,False,False,False,False,False,False,False,-9.206602096557617,-8.65042495727539,-5.276098251342773,-6.346319675445557,-10.96643352508545,-10.036620140075684,-11.680137634277344,-12.959176063537598,-11.57380199432373,-12.48501968383789,-9.515253067016602,-8.097067832946777,plan,False,False,False
HumanEval/95,False,False,False,False,False,False,False,False,False,False,False,False,-9.841625213623047,-8.468503952026367,-5.774302005767822,-10.151097297668457,-7.9317402839660645,-10.591915130615234,-10.834396362304688,-9.349563598632812,-9.361773490905762,-11.821163177490234,-9.811405181884766,-7.034336090087891,plan,False,False,False
HumanEval/96,False,False,False,False,False,False,False,False,False,True,False,False,-9.058198928833008,-9.193353652954102,-4.240111827850342,-10.093074798583984,-10.46227741241455,-9.441828727722168,-12.681570053100586,-11.812238693237305,-9.004899024963379,-12.597898483276367,-10.228228569030762,-5.159457683563232,plan,False,True,True
HumanEval/97,False,False,False,False,False,False,False,False,False,False,False,False,-5.632241725921631,-6.188846111297607,-1.659477949142456,-4.470669269561768,-7.048869609832764,-4.825045585632324,-7.364181995391846,-8.780320167541504,-7.370562553405762,-8.392203330993652,-5.874384880065918,-4.116973876953125,plan,False,False,False
HumanEval/98,False,False,False,False,False,False,False,False,False,False,False,False,-8.91090202331543,-3.021901845932007,-3.4306037425994873,-3.4364044666290283,-6.077123165130615,-7.653083801269531,-8.142512321472168,-6.318605899810791,-9.68648624420166,-7.507846355438232,-7.226198673248291,-1.5517799854278564,typed,False,False,False
HumanEval/99,False,False,False,False,False,False,False,False,False,False,False,False,-13.350887298583984,-10.108238220214844,-6.38394021987915,-7.144032001495361,-7.421672344207764,-14.287165641784668,-11.463631629943848,-12.475889205932617,-11.5236234664917,-12.634182929992676,-9.922722816467285,-13.221126556396484,plan,False,False,False
HumanEval/100,False,False,False,False,False,False,False,False,False,False,False,False,-8.238187789916992,-2.8461086750030518,-3.1023120880126953,-5.647155284881592,-8.871644973754883,-7.306984901428223,-10.2713623046875,-10.972647666931152,-10.545496940612793,-10.958589553833008,-7.9773945808410645,-8.518980026245117,cot,False,False,False
