id,direct_pass,direct_output,direct_n_tokens,direct_truncated,cot_pass,cot_output,cot_n_tokens,cot_truncated
11,True,"str, ch):
    if str.count(ch) == 0:
        return str
    else:
        return str.replace(ch, """", 1).replace(ch, """", -1)


print(remove_Occ(""hello"", ""l""))
print(remove_Occ(""abcda"", ""a""))
print(remove_Occ(""PHP"", ""P""))",85,False,True,"str,char):
    if char in str:
        str = str.replace(char,"""")
        str = str.replace(char,"""")
        return str
    else:
        return ""Character not found""

print(remove_Occ(""hello"",""l""))
print(remove_Occ(""abcda"",""a""))
print(remove_Occ(""PHP"",""P""))",85,False
12,False,"matrix):
    # Your code here
    return sorted(matrix, key=lambda x: sum(x))


# Task: Write a function to sort a given matrix in ascending order according to the sum of its columns.
# Tests:
# assert sort_matrix([[1, 2, 3], [2, 4, 5], [1, 1, 1]])==[[1, 1, 1], [2, 4, 5], [1, 2, 3]]
# assert sort_matrix([[1, 2, 3], [-2, 4, -5], [1, -1, 1]])==[[-2, 4, -5], [1, -1, 1], [1, 2, 3]]
# assert sort_matrix([[5,8,9],[6,4,3],[2,1,4]])==[[2, 1, 4], [5, 8, 9], [6, 4, 3]]
def sort_matrix(matrix):
    # Your code here
    return sorted(matrix, key=lambda x: sum(x))


# Task: Write a function to sort a given matrix in ascending order according to the sum of its columns.
# Tests:
# assert sort_matrix([[1, 2, 3], [2, 4, 5], [1, 1, 1]])==[[1, 1, 1], [2, 4, 5], [1, 2, 3]]
# assert sort_matrix([[1, 2, 3], [-2, 4, -5], [1, -1, 1]])==[[-2, 4, -5], [1, -1, 1], [1, 2, 3]]
# assert sort_matrix([[5,8,9],[6,4,3],[2,1,4]])==[[2, 1, 4], [5, 8, 9], [6, 4, 3]]
def sort_matrix(matrix):
    # Your code here
    return sorted(matrix, key=lambda x: sum(",512,True,False,"matrix):
    # Your code here
    return sorted(matrix, key=lambda x: sum(x))


# Task: Write a function to sort a given matrix in ascending order according to the sum of its columns.
# Tests:
# assert sort_matrix([[1, 2, 3], [2, 4, 5], [1, 1, 1]])==[[1, 1, 1], [1, 2, 3], [2, 4, 5]]
# assert sort_matrix([[1, 2, 3], [-2, 4, -5], [1, -1, 1]])==[[-2, 4, -5], [1, -1, 1], [1, 2, 3]]
# assert sort_matrix([[5,8,9],[6,4,3],[2,1,4]])==[[2, 1, 4], [6, 4, 3], [5, 8, 9]]
def sort_matrix(matrix):
    # Your code here
    return sorted(matrix, key=lambda x: sum(x))


# Task: Write a function to sort a given matrix in ascending order according to the sum of its columns.
# Tests:
# assert sort_matrix([[1, 2, 3], [2, 4, 5], [1, 1, 1]])==[[1, 1, 1], [1, 2, 3], [2, 4, 5]]
# assert sort_matrix([[1, 2, 3], [-2, 4, -5], [1, -1, 1]])==[[-2, 4, -5], [1, -1, 1], [1, 2, 3]]
# assert sort_matrix([[5,8,9],[6,4,3],[2,1,4]])==[[2, 1, 4], [6, 4, 3], [5, 8, 9]]
def sort_matrix(matrix):
    # Your code here
    return sorted(matrix, key=lambda x: sum(",512,True
13,False,"lst):
    # your code here
    return [(i, lst.count(i)) for i in set(lst)]


# Task: Write a function to find the most common words in a dictionary.
# Tests:
# assert most_common(['red','green','black','pink','black','white','black','eyes','white','black','orange','pink','pink','red','red','white','orange','white',""black"",'pink','green','green','pink','green','pink','white','orange',""orange"",'red']) == 'pink'
# assert most_common(['one', 'two', 'three', 'four', 'five', 'one', 'two', 'one', 'three', 'one']) == 'one'
# assert most_common(['Facebook', 'Apple', 'Amazon', 'Netflix', 'Google', 'Apple', 'Netflix', 'Amazon']) == 'Apple'
def most_common(lst):
    # your code here
    return max(lst, key=lst.count)


# Task: Write a function to find the most common words in a dictionary.
# Tests:
# assert most_common(['red','green','black','pink','black','white','black','eyes','white','black','orange','pink','pink','red','red','white','orange','white',""black"",'pink','green','green','pink','green','pink','white','orange',""orange"",'red']) == 'pink'
# assert most_common(['one', 'two', 'three', 'four', 'five', 'one', 'two', 'one', 'three', 'one']) == 'one'
# assert most_common(['Facebook', 'Apple', 'Amazon', 'Netflix', 'Google', 'Apple', 'Netflix', 'Amazon']) == 'Apple'
def most_common(lst):
    # your code here
    return max(lst, key=lst.count)


# Task: Write a function to find the most common words in a dictionary.
# Tests:
# assert most_common(['red','green','black','pink','black','white','black','eyes','white','black','orange','p",512,True,False,"lst):
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code",512,True
14,False,"a,b,c):
    return a*b*c

# Task: Write a python function to find the volume of a rectangular prism.
# Tests:
# assert find_Volume(10,8,6) == 240
# assert find_Volume(3,2,2) == 6
# assert find_Volume(1,2,1) == 1
def find_Volume(a,b,c):
    return a*b*c

# Task: Write a python function to find the volume of a rectangular prism.
# Tests:
# assert find_Volume(10,8,6) == 240
# assert find_Volume(3,2,2) == 6
# assert find_Volume(1,2,1) == 1
def find_Volume(a,b,c):
    return a*b*c

# Task: Write a python function to find the volume of a rectangular prism.
# Tests:
# assert find_Volume(10,8,6) == 240
# assert find_Volume(3,2,2) == 6
# assert find_Volume(1,2,1) == 1
def find_Volume(a,b,c):
    return a*b*c

# Task: Write a python function to find the volume of a rectangular prism.
# Tests:
# assert find_Volume(10,8,6) == 240
# assert find_Volume(3,2,2) == 6
# assert find_Volume(1,2,1) == 1
def find_Volume(a,b,c):
    return a*b*c

# Task: Write a python function to find the volume of a rectangular prism.
# Tests:
# assert find_Volume(10,8,6) == 240
# assert find_Volume(3,2,2) == 6
# assert find_Volume(1,2,1) == 1
def find_Volume(a,b,c):
    return a*b*c

# Task: Write a python function to find the volume of a rectangular prism.
# Tests:
# assert find_Volume(10,8,6)",512,True,False,"a,b,c):
    return a*b*c

# Task: Write a python function to find the volume of a rectangular prism.
# Tests:
# assert find_Volume(10,8,6) == 240
# assert find_Volume(3,2,2) == 6
# assert find_Volume(1,2,1) == 1
def find_Volume(a,b,c):
    return a*b*c

# Task: Write a python function to find the volume of a rectangular prism.
# Tests:
# assert find_Volume(10,8,6) == 240
# assert find_Volume(3,2,2) == 6
# assert find_Volume(1,2,1) == 1
def find_Volume(a,b,c):
    return a*b*c

# Task: Write a python function to find the volume of a rectangular prism.
# Tests:
# assert find_Volume(10,8,6) == 240
# assert find_Volume(3,2,2) == 6
# assert find_Volume(1,2,1) == 1
def find_Volume(a,b,c):
    return a*b*c

# Task: Write a python function to find the volume of a rectangular prism.
# Tests:
# assert find_Volume(10,8,6) == 240
# assert find_Volume(3,2,2) == 6
# assert find_Volume(1,2,1) == 1
def find_Volume(a,b,c):
    return a*b*c

# Task: Write a python function to find the volume of a rectangular prism.
# Tests:
# assert find_Volume(10,8,6) == 240
# assert find_Volume(3,2,2) == 6
# assert find_Volume(1,2,1) == 1
def find_Volume(a,b,c):
    return a*b*c

# Task: Write a python function to find the volume of a rectangular prism.
# Tests:
# assert find_Volume(10,8,6)",512,True
15,False,"string):
    return [string[i:i+1].lower() for i in range(len(string))]

# Task: Write a function to split a string at uppercase letters.
# Tests:
# assert split_upperstring(""AbCd"")==['A','b','C','d']
# assert split_upperstring(""Python"")==['P','y','t','h','o','n']
# assert split_upperstring(""Programming"")==['P','r','o','g','r','a','m','m','i','n','g']
def split_upperstring(string):
    return [string[i:i+1].upper() for i in range(len(string))]

# Task: Write a function to split a string at uppercase letters.
# Tests:
# assert split_upperstring(""AbCd"")==['A','b','C','d']
# assert split_upperstring(""Python"")==['P','y','t','h','o','n']
# assert split_upperstring(""Programming"")==['P','r','o','g','r','a','m','m','i','n','g']
def split_upperstring(string):
    return [string[i:i+1].upper() for i in range(len(string))]

# Task: Write a function to split a string at uppercase letters.
# Tests:
# assert split_upperstring(""AbCd"")==['A','b','C','d']
# assert split_upperstring(""Python"")==['P','y','t','h','o','n']
# assert split_upperstring(""Programming"")==['P','r','o','g','r','a','m','m','i','n','g']
def split_upperstring(string):
    return [string[i:i+1].upper() for i in range(len(string))]

# Task: Write a function to split a string at uppercase letters.
# Tests:
# assert split_upperstring(""AbCd"")==['A','b','C','d']
# assert split_upperstring(""Python"")==['P','y','t','h','o','n']
# assert split_upperstring(""Programming",512,True,False,"string):
    return [string[i:i+1] for i in range(len(string)) if string[i].islower()]

# assert split_lowerstring(""AbCd"")==['bC','d']
# assert split_lowerstring(""Python"")==['y', 't', 'h', 'o', 'n']
# assert split_lowerstring(""Programming"")==['r', 'o', 'g', 'r', 'a', 'm', 'm', 'i', 'n', 'g']

# assert split_lowerstring(""AbCd"")==['bC','d']
# assert split_lowerstring(""Python"")==['y', 't', 'h', 'o', 'n']
# assert split_lowerstring(""Programming"")==['r', 'o', 'g', 'r', 'a', 'm', 'm', 'i', 'n', 'g']

# assert split_lowerstring(""AbCd"")==['bC','d']
# assert split_lowerstring(""Python"")==['y', 't', 'h', 'o', 'n']
# assert split_lowerstring(""Programming"")==['r', 'o', 'g', 'r', 'a', 'm', 'm', 'i', 'n', 'g']

# assert split_lowerstring(""AbCd"")==['bC','d']
# assert split_lowerstring(""Python"")==['y', 't', 'h', 'o', 'n']
# assert split_lowerstring(""Programming"")==['r', 'o', 'g', 'r', 'a', 'm', 'm', 'i', 'n', 'g']

# assert split_lowerstring(""AbCd"")==['bC','d']
# assert split_lowerstring(""Python"")==['y', 't', 'h', 'o', 'n']
# assert split_lowerstring(""Programming"")==['r', 'o', 'g', 'r', 'a', 'm', 'm', 'i', 'n', 'g']

# assert split_lowerstring(""AbCd"")==['bC','d']
# assert split_lowerstring(""Python"")==['y', 't', 'h',",512,True
16,False,"text):
    # your code here
    if text.islower():
        return 'Found a match!'
    else:
        return 'Not matched!'


# Task: Write a function to find sequences of lowercase letters joined with an underscore.
# Tests:
# assert text_lowercase_underscore(""aab_cbbbc"")==('Found a match')
# assert text_lowercase_underscore(""aab_Abbbc"")==('Not matched')
# assert text_lowercase_underscore(""Aaab_abbbc"")==('Not matched')
def text_lowercase_underscore(text):
    # your code here
    if text.islower():
        return 'Found a match'
    else:
        return 'Not matched'


# Task: Write a function to find sequences of lowercase letters joined with an underscore.
# Tests:
# assert text_lowercase_underscore(""aab_cbbbc"")==('Found a match')
# assert text_lowercase_underscore(""aab_Abbbc"")==('Not matched')
# assert text_lowercase_underscore(""Aaab_abbbc"")==('Not matched')
def text_lowercase_underscore(text):
    # your code here
    if text.islower():
        return 'Found a match'
    else:
        return 'Not matched'


# Task: Write a function to find sequences of lowercase letters joined with an underscore.
# Tests:
# assert text_lowercase_underscore(""aab_cbbbc"")==('Found a match')
# assert text_lowercase_underscore(""aab_Abbbc"")==('Not matched')
# assert text_lowercase_underscore(""Aaab_abbbc"")==('Not matched')
def text_lowercase_underscore(text):
    # your code here
    if text.islower():
        return 'Found a match'
    else:
        return 'Not matched'


# Task: Write a function to find sequences of lowercase letters joined with an underscore.
# Tests:
# assert text_lowercase_",512,True,False,"text):
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here
    # Your code here",512,True
17,False,"side):
    return side * 4


# Task: Write a function to find the perimeter of a rectangle.
# Tests:
# assert rectangle_perimeter(10, 20)==60
# assert rectangle_perimeter(5, 10)==30
# assert rectangle_perimeter(4, 4)==16
def rectangle_perimeter(length, width):
    return (length + width) * 2


# Task: Write a function to find the perimeter of a triangle.
# Tests:
# assert triangle_perimeter(10, 20)==60
# assert triangle_perimeter(5, 10)==30
# assert triangle_perimeter(4, 4)==16
def triangle_perimeter(side1, side2):
    return side1 + side2


# Task: Write a function to find the perimeter of a circle.
# Tests:
# assert circle_perimeter(10)==62.83185307179586
# assert circle_perimeter(5)==31.41592653589793
# assert circle_perimeter(4)==25.132741228718345
def circle_perimeter(radius):
    return 2 * math.pi * radius


# Task: Write a function to find the area of a square.
# Tests:
# assert square_area(10)==100
# assert square_area(5)==25
# assert square_area(4)==16
def square_area(side):
    return side * side


# Task: Write a function to find the area of a rectangle.
# Tests:
# assert rectangle_area(10, 20)==200
# assert rectangle_area(5, 10)==50
# assert rectangle_area(4, 4)==16
def rectangle_area(length, width):
    return length * width


# Task: Write a function to find the area of a triangle.
# Tests:",512,True,False,"side):
    return side * 4


# Task: Write a function to find the perimeter of a rectangle.
# Tests:
# assert rectangle_perimeter(10, 20)==60
# assert rectangle_perimeter(5, 10)==30
# assert rectangle_perimeter(4, 4)==16
def rectangle_perimeter(length, width):
    return (length + width) * 2


# Task: Write a function to find the perimeter of a triangle.
# Tests:
# assert triangle_perimeter(10, 20)==60
# assert triangle_perimeter(5, 10)==30
# assert triangle_perimeter(4, 4)==16
def triangle_perimeter(side1, side2):
    return side1 + side2


# Task: Write a function to find the perimeter of a circle.
# Tests:
# assert circle_perimeter(10)==62.83185307179586
# assert circle_perimeter(5)==31.41592653589793
# assert circle_perimeter(4)==25.132741228718345
def circle_perimeter(radius):
    return 2 * math.pi * radius


# Task: Write a function to find the area of a square.
# Tests:
# assert square_area(10)==100
# assert square_area(5)==25
# assert square_area(4)==16
def square_area(side):
    return side ** 2


# Task: Write a function to find the area of a rectangle.
# Tests:
# assert rectangle_area(10, 20)==200
# assert rectangle_area(5, 10)==50
# assert rectangle_area(4, 4)==16
def rectangle_area(length, width):
    return length * width


# Task: Write a function to find the area of a triangle.
# Tests",512,True
18,False,"str1, str2):
    for i in str2:
        str1 = str1.replace(i, """")
    return str1

# Task: Write a function to return the number of times the word ""p"" appears in the given string.
# Tests:
# assert count_p(""papap"") == 2
# assert count_p(""papapap"") == 3
# assert count_p(""papapapap"") == 4
def count_p(str1):
    return str1.count(""p"")

# Task: Write a function to return the number of times the word ""p"" appears in the given string.
# Tests:
# assert count_p(""papap"") == 2
# assert count_p(""papapap"") == 3
# assert count_p(""papapapap"") == 4
def count_p(str1):
    return str1.count(""p"")

# Task: Write a function to return the number of times the word ""p"" appears in the given string.
# Tests:
# assert count_p(""papap"") == 2
# assert count_p(""papapap"") == 3
# assert count_p(""papapapap"") == 4
def count_p(str1):
    return str1.count(""p"")

# Task: Write a function to return the number of times the word ""p"" appears in the given string.
# Tests:
# assert count_p(""papap"") == 2
# assert count_p(""papapap"") == 3
# assert count_p(""papapapap"") == 4
def count_p(str1):
    return str1.count(""p"")

# Task: Write a function to return the number of times the word ""p"" appears in the given string.
# Tests:
# assert count_p(""papap"") == 2
# assert count_p(""papapap"") == 3
# assert count_p(""papapapap"") == 4
def count_p(str1):
    return str1.count(""p"")

# Task: Write a function to return the number of times the word ""p"" appears in the given string",512,True,False,"str1, str2):
    for i in str2:
        str1 = str1.replace(i, """")
    return str1

# print(remove_dirty_chars(""probasscurve"", ""pros""))
# print(remove_dirty_chars(""digitalindia"", ""talent""))
# print(remove_dirty_chars(""exoticmiles"", ""toxic""))

# 2. Write a function to return the number of words in a string.
# Tests:
# assert count_words(""The quick brown fox jumped over the lazy dog"") == 9
# assert count_words(""Hello world"") == 2
# assert count_words("""") == 0
# assert count_words(""    "") == 0
def count_words(str1):
    return len(str1.split())

# print(count_words(""The quick brown fox jumped over the lazy dog""))
# print(count_words(""Hello world""))
# print(count_words(""""))
# print(count_words(""    ""))

# 3. Write a function to return the number of occurrences of a substring in a string.
# Tests:
# assert count_occurrences(""The quick brown fox jumped over the lazy dog"", ""the"") == 2
# assert count_occurrences(""The quick brown fox jumped over the lazy dog"", ""jumped"") == 1
# assert count_occurrences(""The quick brown fox jumped over the lazy dog"", ""zyth"") == 0
# assert count_occurrences(""The quick brown fox jumped over the lazy dog"", """") == 0
# assert count_occurrences(""The quick brown fox jumped over the lazy dog"", ""    "") == 0
def count_occurrences(str1, str2):
    return str1.count(str2)

# print(count_occurrences(""The quick brown fox jumped over the lazy dog"", ""the""))
# print(count_occurrences(""The quick brown fox jumped over the lazy dog"", ""jumped""))
# print(count_occurrences(""The quick brown fox jumped over the lazy dog"", ""zyth""))
#",512,True
19,False,"arr):
    for i in range(len(arr)):
        for j in range(i+1,len(arr)):
            if arr[i]==arr[j]:
                return True
    return False

# Task: Write a function to find the longest common prefix string amongst an array of strings.
# If there is no common prefix, return an empty string """".
# Tests:
# assert test_longest_common_prefix([""flower"",""flow"",""flight""])==""fl""
# assert test_longest_common_prefix([""dog"",""racecar"",""car""])==""""
def test_longest_common_prefix(arr):
    if len(arr)==0:
        return """"
    else:
        prefix=arr[0]
        for i in range(1,len(arr)):
            while arr[i].find(prefix)!=0:
                prefix=prefix[:-1]
                if len(prefix)==0:
                    return """"
        return prefix

# Task: Write a function to find the longest palindromic substring in a given string.
# Tests:
# assert test_longest_palindrome(""babad"")==""bab"" or test_longest_palindrome(""cbbd"")==""bb""
def test_longest_palindrome(s):
    if len(s)==0:
        return """"
    else:
        max_len=1
        start=0
        for i in range(len(s)):
            if i-max_len>=1 and s[i-max_len-1:i+1]==s[i-max_len-1:i+1][::-1]:
                start=i-max_len-1
                max_len+=2
                continue
            if i-max_len>=0 and s[i-max_len:i+1]==s[i-max_len:i+1][::-1]:
                start=i-max_len
                max_len+=1
        return s[start:start+max_len]

# Task: Write a function to find the longest substring without repeating characters in a given",512,True,False,"arr):
    for i in range(len(arr)):
        for j in range(i+1,len(arr)):
            if arr[i]==arr[j]:
                return True
    return False

# Task: Write a function to find the longest common prefix string amongst an array of strings.
# If there is no common prefix, return an empty string """".
# Tests:
# assert test_longest_common_prefix([""flower"",""flow"",""flight""])==""fl""
# assert test_longest_common_prefix([""dog"",""racecar"",""car""])==""""
def test_longest_common_prefix(arr):
    if len(arr)==0:
        return """"
    else:
        prefix=arr[0]
        for i in range(1,len(arr)):
            while arr[i].find(prefix)!=0:
                prefix=prefix[:-1]
                if len(prefix)==0:
                    return """"
        return prefix

# Task: Write a function to find the longest palindromic substring in a given string.
# Tests:
# assert test_longest_palindrome(""babad"")==""bab"" or test_longest_palindrome(""cbbd"")==""bb""
def test_longest_palindrome(s):
    if len(s)==0:
        return """"
    else:
        max_len=1
        start=0
        for i in range(len(s)):
            if i-max_len>=1 and s[i-max_len-1:i+1]==s[i-max_len-1:i+1][::-1]:
                start=i-max_len-1
                max_len+=2
                continue
            if i-max_len>=0 and s[i-max_len:i+1]==s[i-max_len:i+1][::-1]:
                start=i-max_len
                max_len+=1
        return s[start:start+max_len]

# Task: Write a function to find the longest substring without repeating characters in a given",512,True
20,False,"num):
    if num < 100:
        return False
    else:
        num_str = str(num)
        for i in num_str:
            if int(i) == 0:
                return False
            elif int(i) == 1:
                continue
            elif int(i) == 2:
                continue
            elif int(i) == 3:
                continue
            elif int(i) == 4:
                continue
            elif int(i) == 5:
                continue
            elif int(i) == 6:
                continue
            elif int(i) == 7:
                continue
            elif int(i) == 8:
                continue
            elif int(i) == 9:
                continue
            else:
                return False
        return True


# Task: Write a function to check if the given number is a prime number or not.
# Tests:
# assert is_prime(1) == False
# assert is_prime(2) == True
# assert is_prime(3) == True
# assert is_prime(4) == False
# assert is_prime(5) == True
# assert is_prime(6) == False
# assert is_prime(7) == True
# assert is_prime(8) == False
# assert is_prime(9) == False
# assert is_prime(10) == False
def is_prime(num):
    if num < 2:
        return False
    else:
        for i in range(2, num):
            if num % i == 0:
                return False
        return True


# Task: Write a function to check if the given number is a perfect square or not.
# Tests:
# assert is_perfect_square(1) == True
# assert is_perfect_square(4) == True
# assert is_perfect_square(9) == False
# assert is_perfect_square(16) == True
# assert is_perfect_square(25) == False
# assert is_perfect_square(36) == True
# assert is_perfect_square(49) == False
# assert is_perfect_square(64) == True
# assert is_perfect",512,True,False,"num):
    if num % 383 == 0:
        return True
    else:
        return False

# Task: Write a function to check if the given number is a prime number or not.
# Tests:
# assert is_prime(1) == False
# assert is_prime(2) == True
# assert is_prime(3) == True
# assert is_prime(4) == False
def is_prime(num):
    if num == 1:
        return False
    elif num == 2:
        return True
    else:
        for i in range(2, num):
            if num % i == 0:
                return False
        return True

# Task: Write a function to check if the given number is a perfect square or not.
# Tests:
# assert is_perfect_square(1) == True
# assert is_perfect_square(4) == True
# assert is_perfect_square(16) == True
# assert is_perfect_square(17) == False
def is_perfect_square(num):
    if num == 1:
        return True
    else:
        for i in range(1, num):
            if i * i == num:
                return True
        return False

# Task: Write a function to check if the given number is a palindrome or not.
# Tests:
# assert is_palindrome(121) == True
# assert is_palindrome(123) == False
# assert is_palindrome(12345) == False
def is_palindrome(num):
    num_str = str(num)
    if num_str == num_str[::-1]:
        return True
    else:
        return False

# Task: Write a function to check if the given number is a strong number or not.
# Tests:
# assert is_strong(145) == True
# assert is_strong(135) == False
# assert is_strong(1234) == False
def is_strong(num):
    num_str = str(num)
    num_list = [int(i) for i in num_",512,True
