problem_id,task_id,selected_strategy,selected_score,direct_score,cot_score,score_spread,probe_selected_passed,direct_passed,cot_passed,random_strategy,random_passed
50,HumanEval/50,direct,0.07388600707054138,0.07388600707054138,0.029366813600063324,0.045969922095537186,False,False,False,simple,False
51,HumanEval/51,direct,0.6186984777450562,0.6186984777450562,0.3760170340538025,0.3057152032852173,False,False,False,plan,False
52,HumanEval/52,direct,0.7570868730545044,0.7570868730545044,0.5067620873451233,0.35905715823173523,False,False,False,expert,True
53,HumanEval/53,direct,0.9432399272918701,0.9432399272918701,0.8642845153808594,0.20032429695129395,True,True,True,plan,True
54,HumanEval/54,direct,0.47415247559547424,0.47415247559547424,0.2541523277759552,0.27438579499721527,False,False,False,simple,False
55,HumanEval/55,direct,0.9192873239517212,0.9192873239517212,0.806598961353302,0.2213401198387146,True,True,True,direct,True
56,HumanEval/56,direct,0.6179860234260559,0.6179860234260559,0.3782985806465149,0.2800408899784088,True,True,False,expert,True
57,HumanEval/57,direct,0.8471503257751465,0.8471503257751465,0.6679503321647644,0.2810291647911072,True,True,False,plan,False
58,HumanEval/58,direct,0.7553603649139404,0.7553603649139404,0.5695483684539795,0.22682398557662964,True,True,True,plan,False
59,HumanEval/59,direct,0.6543087363243103,0.6543087363243103,0.418277770280838,0.3256990909576416,False,False,False,direct,False
60,HumanEval/60,direct,0.8212290406227112,0.8212290406227112,0.6437515020370483,0.28113222122192383,True,True,True,plan,True
61,HumanEval/61,direct,0.6856456995010376,0.6856456995010376,0.4120871424674988,0.3268794119358063,True,True,False,careful,True
62,HumanEval/62,direct,0.7414303421974182,0.7414303421974182,0.5266004800796509,0.24838483333587646,False,False,False,careful,False
63,HumanEval/63,direct,0.5026887655258179,0.5026887655258179,0.29247069358825684,0.2575388252735138,True,True,True,cot,True
64,HumanEval/64,simple,0.12804681062698364,0.11472199857234955,0.12596456706523895,0.020655959844589233,False,False,False,cot,False
65,HumanEval/65,careful,0.35161736607551575,0.32339128851890564,0.3496401011943817,0.032468050718307495,False,False,False,cot,False
66,HumanEval/66,careful,0.3626434803009033,0.3114340901374817,0.36113250255584717,0.05120939016342163,True,True,True,plan,False
67,HumanEval/67,plan,0.04040355607867241,0.025842174887657166,0.030796732753515244,0.014561381191015244,False,False,False,expert,False
68,HumanEval/68,direct,0.047477319836616516,0.047477319836616516,0.04609697312116623,0.0022191815078258514,False,False,False,direct,False
69,HumanEval/69,plan,0.1828315556049347,0.1049192026257515,0.1423313170671463,0.0779123529791832,False,False,False,simple,False
70,HumanEval/70,plan,0.12203983217477798,0.08063367009162903,0.09857399016618729,0.041406162083148956,False,False,False,direct,False
71,HumanEval/71,plan,0.11524413526058197,0.07552843540906906,0.07865291833877563,0.03971569985151291,False,False,False,cot,False
72,HumanEval/72,direct,0.3888813853263855,0.3888813853263855,0.28495073318481445,0.11944219470024109,True,True,True,cot,True
73,HumanEval/73,plan,0.061181917786598206,0.040926963090896606,0.05049498379230499,0.0202549546957016,False,False,False,simple,False
74,HumanEval/74,plan,0.07607283443212509,0.058373745530843735,0.05888330191373825,0.017699088901281357,True,False,False,expert,False
75,HumanEval/75,simple,0.08004157990217209,0.06480016559362411,0.07623372226953506,0.015241414308547974,False,False,False,careful,False
76,HumanEval/76,careful,0.1708524525165558,0.13726475834846497,0.16551485657691956,0.03358769416809082,False,False,False,careful,False
77,HumanEval/77,plan,0.1855885535478592,0.11850448697805405,0.17695334553718567,0.06708406656980515,False,False,False,direct,False
78,HumanEval/78,plan,0.04187077656388283,0.03961029648780823,0.04163162410259247,0.0037681944668293,False,False,False,direct,False
79,HumanEval/79,plan,0.33008769154548645,0.2953500747680664,0.2905249297618866,0.043323814868927,False,True,True,simple,True
80,HumanEval/80,careful,0.11306995898485184,0.07531657814979553,0.10632069408893585,0.037753380835056305,False,False,False,cot,False
81,HumanEval/81,direct,0.1456366777420044,0.1456366777420044,0.12311825901269913,0.022518418729305267,False,False,False,expert,False
82,HumanEval/82,careful,0.2497664839029312,0.20715020596981049,0.23185597360134125,0.052011311054229736,False,False,False,simple,False
83,HumanEval/83,simple,0.02908499352633953,0.02545515075325966,0.02751494012773037,0.004862416535615921,True,False,False,careful,False
84,HumanEval/84,simple,0.06565530598163605,0.05306902527809143,0.06024111807346344,0.012586280703544617,False,False,False,simple,False
85,HumanEval/85,simple,0.32049304246902466,0.2693250775337219,0.2880297303199768,0.053432583808898926,False,False,False,plan,False
86,HumanEval/86,plan,0.07463464140892029,0.043365899473428726,0.06494713574647903,0.03126874193549156,True,False,True,careful,False
87,HumanEval/87,plan,0.08732377737760544,0.08249776810407639,0.07475714385509491,0.015369541943073273,False,False,False,direct,False
88,HumanEval/88,simple,0.12805074453353882,0.11550193279981613,0.12238019704818726,0.012548811733722687,False,False,False,direct,False
89,HumanEval/89,careful,0.4275887608528137,0.34313511848449707,0.4098796844482422,0.08445364236831665,False,True,True,cot,True
90,HumanEval/90,plan,0.08628752827644348,0.06442077457904816,0.07678757607936859,0.021866753697395325,False,False,False,simple,False
91,HumanEval/91,simple,0.15581737458705902,0.13114549219608307,0.14679013192653656,0.024671882390975952,False,False,False,careful,False
92,HumanEval/92,plan,0.08882506936788559,0.06359897553920746,0.06630450487136841,0.02522609382867813,False,False,False,expert,False
93,HumanEval/93,plan,0.23345887660980225,0.17447267472743988,0.21387389302253723,0.058986201882362366,False,False,False,plan,False
94,HumanEval/94,direct,0.3111133873462677,0.3111133873462677,0.14967751502990723,0.18447774648666382,True,True,False,careful,False
95,HumanEval/95,plan,0.13299261033535004,0.11232214421033859,0.12342867255210876,0.020670466125011444,True,False,False,cot,False
96,HumanEval/96,plan,0.2850150465965271,0.22041013836860657,0.25061312317848206,0.06460490822792053,False,False,False,expert,False
97,HumanEval/97,simple,0.6867362856864929,0.6211189031600952,0.6806203126907349,0.0656173825263977,True,True,True,direct,True
98,HumanEval/98,simple,0.2624106705188751,0.22121046483516693,0.23793260753154755,0.05931113660335541,True,True,False,direct,True
99,HumanEval/99,plan,0.12962137162685394,0.10016559809446335,0.10370824486017227,0.029455773532390594,False,False,False,cot,False
